State,CensusTract,Prog1,Prog2,Prog3,Prog4,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
NY,36043010300,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36043010400,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36043011001,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36043011100,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36043011200,Brownfields Projects,,,,83333,Brownfields Project - Herkimer County Industrial Development Agency,TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36043011502,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36045060101,Clean School Bus Program,,,,915000,Alexandria Central School District,DS_ET,Clean Transportation,
NY,36045060102,Clean School Bus Program,,,,915000,Alexandria Central School District,DS_ET,Clean Transportation,
NY,36045060700,Clean School Bus Program,,,,915000,Alexandria Central School District,DS_ET,Clean Transportation,
NY,36047001100,University Transportation Centers (UTC) Program,,,,1000000,University Transportation Center: New York University,"N_WKFC, TP_ET",Training & Workforce Development,
NY,36047001300,University Transportation Centers (UTC) Program,,,,1000000,University Transportation Center: New York University,"N_WKFC, TP_ET",Training & Workforce Development,
NY,36047019300,Clean School Bus Program,,,,197500,Community Partnership Charter School,DS_ET,Clean Transportation,
NY,36047025300,Clean School Bus Program,,,,197500,Community Partnership Charter School,DS_ET,Clean Transportation,
NY,36047049900,Brownfields Projects,,,,250000,Brownfields Job Training: St. Nicks Alliance,"N_WKFC, TSDF_ET",Remediation & Reduction of Legacy Pollution,
NY,36047051500,Brownfields Projects,,,,250000,Brownfields Job Training: St. Nicks Alliance,"N_WKFC, TSDF_ET",Remediation & Reduction of Legacy Pollution,
NY,36049950700,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36051030800,Inland Flood Risk Management Projects,Corps of Engineers Operation and Maintenance,,,472500,"Mount Morris Dam, NY","FLD_ET, N_CLT",Climate Change,
NY,36051030900,Inland Flood Risk Management Projects,Corps of Engineers Operation and Maintenance,,,472500,"Mount Morris Dam, NY","FLD_ET, N_CLT",Climate Change,
NY,36055001800,Bus and Bus Facilities Competitive Grants,,,,4000000,Rochester Genesee Regional Transportation Authority,"TP_ET, PM25_ET",Climate Change,X
NY,36055008801,Bus and Bus Facilities Competitive Grants,,,,4000000,Rochester Genesee Regional Transportation Authority,"TP_ET, PM25_ET",Climate Change,X
NY,36055009602,Brownfields Projects,,,,500000,Brownfields Job Training: City of Rochester,"N_WKFC, TSDF_ET","Remediation & Reduction of Legacy Pollution, Training & Workforce Development",
NY,36055013300,Watershed and Flood Prevention Operations,,,,55000,PIFR - Honeyoye Creek Watershed,"N_WTR, N_PLN",Clean Water & Waste Infrastructure,
NY,36055014104,Bus and Bus Facilities Competitive Grants,,,,4000000,Rochester Genesee Regional Transportation Authority,"TP_ET, PM25_ET",Climate Change,X
NY,36055980200,Bus and Bus Facilities Competitive Grants,,,,4000000,Rochester Genesee Regional Transportation Authority,"TP_ET, PM25_ET",Climate Change,X
NY,36057072800,Clean School Bus Program,,,,76250,Duanesburg Central School District,DS_ET,Clean Transportation,
NY,36059416300,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416401,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416402,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416500,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416600,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416701,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416702,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416801,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416802,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36059416900,Flood Control and Coastal Emergencies,,,,1500000,"Long Beach Island, NY",FLD_ET,Climate Change,
NY,36061002902,Brownfields Projects,,,,1000000,"RLF Supplemental Funding - New York, City of",TSDF_ET,Remediation & Reduction of Legacy Pollution,X
NY,36061021703,University Transportation Centers (UTC) Program,,,,3000000,University Transportation Center: City College of New York,N_WKFC,Training & Workforce Development,
NY,36063022715,Battery Materials Processing Grants,,,,117000,"Anovion: Scaling the Domestic, US Owned and Operated Anode Supply Chain for Synthetic Graphite",N_WKFC,Clean Energy & Energy Efficiency,
NY,36063022716,Battery Materials Processing Grants,,,,117000,"Anovion: Scaling the Domestic, US Owned and Operated Anode Supply Chain for Synthetic Graphite",N_WKFC,Clean Energy & Energy Efficiency,
NY,36063022717,Battery Materials Processing Grants,,,,117000,"Anovion: Scaling the Domestic, US Owned and Operated Anode Supply Chain for Synthetic Graphite",N_WKFC,Clean Energy & Energy Efficiency,
NY,36063023401,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023402,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023404,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023405,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023500,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023600,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023700,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023800,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023901,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063023902,Superfund,,,,5585000,Eighteenmile Creek,NPL_ET,Remediation & Reduction of Legacy Pollution,
NY,36063024101,Clean School Bus Program,,,,948000,Barker Central School District,DS_ET,Clean Transportation,
NY,36063024102,Clean School Bus Program,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,1023000,"14 Lake Ontario, Golden Hill State Park Lighthouse, Barker, NY; Barker Central School District","DS_ET, N_CLT","Clean Transportation, Climate Change",
NY,36063024202,Clean School Bus Program,,,,948000,Barker Central School District,DS_ET,Clean Transportation,
NY,36065024101,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36065024102,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36065024200,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36065024302,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36065024303,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36065024400,Clean School Bus Program,,,,148125,Adirondack Central School District,DS_ET,Clean Transportation,
NY,36067003200,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067003400,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067003500,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067004200,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067004301,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067004302,Reconnecting Communities Pilot Program,National Highway Freight Program,,,3416666,"Reconnecting a Post I-81 Viaduct Syracuse, I-81 Community Grid Support Services","N_TRN, N_WKFC, N_HLTH",Clean Transportation,
NY,36067010200,Watershed and Flood Prevention Operations,,,,13750,PIFR - PIFR - Mud Creek - Town of Cicero,"N_CLT, FLD_ET",Climate Change,
NY,36067010301,Watershed and Flood Prevention Operations,,,,13750,PIFR - PIFR - Mud Creek - Town of Cicero,"N_CLT, FLD_ET",Climate Change,
NY,36067010400,Watershed and Flood Prevention Operations,,,,13750,PIFR - PIFR - Mud Creek - Town of Cicero,"N_CLT, FLD_ET",Climate Change,
NY,36067010500,Watershed and Flood Prevention Operations,,,,13750,PIFR - PIFR - Mud Creek - Town of Cicero,"N_CLT, FLD_ET",Climate Change,
NY,36067011402,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36067011900,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36067012000,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36067012100,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36067015701,Clean School Bus Program,,,,395000,Fabius-Pompey Central School District,DS_ET,Clean Transportation,
NY,36067015702,Clean School Bus Program,,,,395000,Fabius-Pompey Central School District,DS_ET,Clean Transportation,
NY,36067015800,Clean School Bus Program,,,,395000,Fabius-Pompey Central School District,DS_ET,Clean Transportation,
NY,36067016600,Clean School Bus Program,,,,56429,Jordan-Elbridge Central School District,DS_ET,Clean Transportation,
NY,36067016902,Clean School Bus Program,,,,395000,Fabius-Pompey Central School District,DS_ET,Clean Transportation,
NY,36069031101,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069050601,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069052001,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069052003,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069052101,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069052102,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36069052200,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36073040200,Clean School Bus Program,,,,948000,Barker Central School District,DS_ET,Clean Transportation,
NY,36073401200,Clean School Bus Program,,,,948000,Barker Central School District,DS_ET,Clean Transportation,
NY,36081003301,Brownfields Projects,,,,125000,Brownfields Job Training: The Fortune Society,"N_WKFC, TSDF_ET","Remediation & Reduction of Legacy Pollution, Training & Workforce Development",
NY,36081003302,Brownfields Projects,,,,125000,Brownfields Job Training: The Fortune Society,"N_WKFC, TSDF_ET","Remediation & Reduction of Legacy Pollution, Training & Workforce Development",
NY,36081017101,Brownfields Projects,,,,125000,Brownfields Job Training: The Fortune Society,"N_WKFC, TSDF_ET","Remediation & Reduction of Legacy Pollution, Training & Workforce Development",
NY,36081017102,Brownfields Projects,,,,125000,Brownfields Job Training: The Fortune Society,"N_WKFC, TSDF_ET","Remediation & Reduction of Legacy Pollution, Training & Workforce Development",
NY,36089490400,Clean School Bus Program,,,,79000,Norwood-Norfolk Central School District,DS_ET,Clean Transportation,
NY,36089490500,Clean School Bus Program,,,,79000,Norwood-Norfolk Central School District,DS_ET,Clean Transportation,
NY,36089490600,Clean School Bus Program,,,,79000,Norwood-Norfolk Central School District,DS_ET,Clean Transportation,
NY,36089490700,Clean School Bus Program,,,,948000,"Norwood-Norfolk Central School District, Salmon River Central School District",DS_ET,Clean Transportation,
NY,36089491000,Clean School Bus Program,,,,79000,Norwood-Norfolk Central School District,DS_ET,Clean Transportation,
NY,36089492900,Clean School Bus Program,,,,915000,Alexandria Central School District,DS_ET,Clean Transportation,
NY,36091061304,National Seed Strategy,,,,80000,Col William F. Fox Memorial Saratoga Tree Nursery,N_CLT,Climate Change,
NY,36091061305,National Seed Strategy,,,,80000,Col William F. Fox Memorial Saratoga Tree Nursery,N_CLT,Climate Change,
NY,36093033102,Clean School Bus Program,,,,76250,Duanesburg Central School District,DS_ET,Clean Transportation,
NY,36095740700,Clean School Bus Program,,,,76250,Duanesburg Central School District,DS_ET,Clean Transportation,
NY,36101960200,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36101960300,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36103170203,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,25000,"Goldsmith Inlet, NY (Sec 103)","FLD_ET, N_WTR",Climate Change,
NY,36103170204,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,25000,"Goldsmith Inlet, NY (Sec 103)","FLD_ET, N_WTR",Climate Change,
NY,36103190709,Local and Regional Project Assistance Grants (RAISE),,,,573378,Comprehensive Roadway Infrastructure Planning and Design Project,N_TRN,Clean Transportation,
NY,36103190710,Local and Regional Project Assistance Grants (RAISE),,,,573378,Comprehensive Roadway Infrastructure Planning and Design Project,N_TRN,Clean Transportation,
NY,36105951201,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951301,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951302,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951500,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951600,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951701,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951702,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951801,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951802,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105951900,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36105952000,Clean School Bus Program,,,,35909,Monticello Central School District,DS_ET,Clean Transportation,
NY,36109001000,Clean School Bus Program,,,,395000,Newfield Central School District,DS_ET,Clean Transportation,
NY,36109001700,Clean School Bus Program,,,,395000,Newfield Central School District,DS_ET,Clean Transportation,
NY,36109001800,Clean School Bus Program,,,,395000,Newfield Central School District,DS_ET,Clean Transportation,
NY,36111950500,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111950600,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111950900,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111951000,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111951100,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111951200,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36111952700,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111952800,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111952901,Clean School Bus Program,,,,1926722,"Rondout Valley Central School District, Onteora Central School District",DS_ET,Clean Transportation,
NY,36111952902,Clean School Bus Program,,,,1926722,"Rondout Valley Central School District, Onteora Central School District",DS_ET,Clean Transportation,
NY,36111953000,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111954500,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111954600,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111955001,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111955002,Clean School Bus Program,,,,1097222,Rondout Valley Central School District,DS_ET,Clean Transportation,
NY,36111955300,Clean School Bus Program,,,,829500,Onteora Central School District,DS_ET,Clean Transportation,
NY,36115080301,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115080302,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115081001,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115081002,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115084001,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115084002,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115085000,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36115086000,Clean School Bus Program,,,,592500,Hartford Central School District,DS_ET,Clean Transportation,
NY,36123150302,Clean School Bus Program,,,,79000,Naples Central School District,DS_ET,Clean Transportation,
NY,36063940001,Indian Health Service Sanitation Facilities Construction Program,,,,21985824,Tusc Community Water Project - 2 Entire Territory,N_WTR,Clean Water & Waste Infrastructure,
NY,36065980002,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065026200,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065021602,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065021601,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36043011302,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36043010202,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065020802,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065020803,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065020102,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
NY,36065023200,Local and Regional Project Assistance Grants (RAISE),,,,1820000,North Genesee Street Gateway Bridge and Multi-Modal Connector Project,"N_TRN, N_HLTH",Clean Transportation,
MI,26001000100,Clean School Bus Program,,,,197500,Alcona Community Schools,DS_ET,Clean Transportation,
MI,26001970100,Clean School Bus Program,,,,197500,Alcona Community Schools,DS_ET,Clean Transportation,
MI,26001970400,Clean School Bus Program,,,,197500,Alcona Community Schools,DS_ET,Clean Transportation,
MI,26001970500,Clean School Bus Program,,,,197500,Alcona Community Schools,DS_ET,Clean Transportation,
MI,26005030302,Clean School Bus Program,,,,237000,Hopkins Public Schools,DS_ET,Clean Transportation,
MI,26005030403,Clean School Bus Program,,,,237000,Hopkins Public Schools,DS_ET,Clean Transportation,
MI,26005030404,Clean School Bus Program,,,,237000,Hopkins Public Schools,DS_ET,Clean Transportation,
MI,26005030600,Clean School Bus Program,,,,237000,Hopkins Public Schools,DS_ET,Clean Transportation,
MI,26005031300,Clean School Bus Program,,,,237000,Hopkins Public Schools,DS_ET,Clean Transportation,
MI,26011970100,Clean School Bus Program,,,,131666.67,Au Gres-Sims School District,DS_ET,Clean Transportation,
MI,26011970300,Clean School Bus Program,,,,131666.67,Au Gres-Sims School District,DS_ET,Clean Transportation,
MI,26011970400,Clean School Bus Program,,,,131666.67,Au Gres-Sims School District,DS_ET,Clean Transportation,
MI,26013000100,Clean School Bus Program,,,,263333.33,L'Anse Area Schools,DS_ET,Clean Transportation,
MI,26013000200,Clean School Bus Program,,,,263333.33,L'Anse Area Schools,DS_ET,Clean Transportation,
MI,26013000200,Indian Health Service Sanitation Facilities Construction Program,,,,93100,"KB - Lift Station Controls Replacement, KB - Open Dump Cleanup","N_WTR, EB_ET",Clean Water & Waste Infrastructure,
MI,26021011301,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,25000,"New Buffalo Harbor, MI","N_WTR, N_HLTH",Clean Water & Waste Infrastructure,
MI,26021011302,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,25000,"New Buffalo Harbor, MI","N_WTR, N_HLTH",Clean Water & Waste Infrastructure,
MI,26025002900,Clean School Bus Program,,,,691250,Homer Community School District,DS_ET,Clean Transportation,
MI,26025003000,Clean School Bus Program,,,,691250,Homer Community School District,DS_ET,Clean Transportation,
MI,26025003100,Clean School Bus Program,,,,691250,Homer Community School District,DS_ET,Clean Transportation,
MI,26025003200,Clean School Bus Program,,,,691250,Homer Community School District,DS_ET,Clean Transportation,
MI,26027001000,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26027001600,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26027001702,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26027001802,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26027002100,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26027002202,Clean School Bus Program,,,,197500,Cassapolis Public Schools,DS_ET,Clean Transportation,
MI,26029000400,Superfund,Corps of Engineers Operation and Maintenance,,,1901666.67,"Charlevoix Municipal Well, Charlevoix Harbor","NPL_ET, N_WTR, N_CLT","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
MI,26029000500,Ferry Service for Rural Communities,,,,6628285,Ferry Service Funding: Michigan Department of Transportation,PM25_ET,Clean Transportation,
MI,26029000900,Superfund,,,,1476666.67,Charlevoix Municipal Well,NPL_ET ,Remediation & Reduction of Legacy Pollution,
MI,26029001500,Superfund,Corps of Engineers Operation and Maintenance,,,1901666.67,"Charlevoix Municipal Well, Charlevoix Harbor",NPL_ET,Remediation & Reduction of Legacy Pollution,
MI,26031960100,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26031960600,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26033970100,Local and Regional Project Assistance Grants (RAISE),,,,9890702,Ozhitoon Mino-Bimaadiziwin Project,"N_TRN, N_WKFC",Clean Transportation,
MI,26033970200,Local and Regional Project Assistance Grants (RAISE),,,,9890702,Ozhitoon Mino-Bimaadiziwin Project,"N_TRN, N_WKFC",Clean Transportation,
MI,26033970600,Clean School Bus Program,Indian Health Service Sanitation Facilities,,,493000,"Ojibwe Charter School, BM Open Dump Clean Up","DS_ET, N_WTR, UST_ET","Clean Transportation, Clean Water & Waste Infrastructure",
MI,26033970602,Formula Grants for Rural Areas,,,,150000,Bay Mills Indian Community,"N_TRN, N_WKFC",Clean Transportation,
MI,26047970100,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26047970201,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26047970202,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26047970301,Clean School Bus Program,,,,263333.33,Pellston Public Schools,DS_ET,Clean Transportation,
MI,26049010304,Clean School Bus Program,,,,381250,Beecher Community School District,DS_ET,Clean Transportation,
MI,26049010305,Clean School Bus Program,,,,381250,Beecher Community School District,DS_ET,Clean Transportation,
MI,26049012201,Clean School Bus Program,,,,381250,Beecher Community School District,DS_ET,Clean Transportation,
MI,26049012202,Clean School Bus Program,,,,381250,Beecher Community School District,DS_ET,Clean Transportation,
MI,26053950300,Clean School Bus Program,,,,395000,Bessemer Area School District,DS_ET,Clean Transportation,
MI,26053950800,Clean School Bus Program,,,,395000,Bessemer Area School District,DS_ET,Clean Transportation,
MI,26055551302,Fish Passage,,,,3600000,Fish Passage:  Grand Traverse Band of Ottawa and Chippewa Indians,N_CLT,"Clean Water & Waste Infrastructure, Training & Workforce Development",
MI,26057000200,Superfund,,,,5034900,Velsicol Burn Pit,NPL_ET,Remediation & Reduction of Legacy Pollution,
MI,26057000300,Superfund,,,,5034900,Velsicol Burn Pit,NPL_ET,Remediation & Reduction of Legacy Pollution,
MI,26057000500,Superfund,,,,5034900,Velsicol Burn Pit,NPL_ET,Remediation & Reduction of Legacy Pollution,
MI,26057000600,Superfund,,,,5034900,Velsicol Burn Pit,NPL_ET,Remediation & Reduction of Legacy Pollution,
MI,26061001000,Clean School Bus Program,,,,263333.33,L'Anse Area Schools,DS_ET,Clean Transportation,
MI,26063950200,Clean School Bus Program,,,,592500,Harbor Beach Community Schools,DS_ET,Clean Transportation,
MI,26063950700,Clean School Bus Program,,,,98750,Unionville-Sebawaing Area S.D.,DS_ET,Clean Transportation,
MI,26063950800,Clean School Bus Program,,,,98750,Unionville-Sebawaing Area S.D.,DS_ET,Clean Transportation,
MI,26063950900,Clean School Bus Program,,,,592500,Ubly Community Schools,DS_ET,Clean Transportation,
MI,26063951200,Clean School Bus Program,,,,1185000,"Harbor Beach Community Schools, Ubly Community Schools",DS_ET,Clean Transportation,
MI,26065000100,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,250000,"North Lansing Dam, MI","EAL_ET, FLD_ET","Climate Change, Clean Water & Waste Infrastructure",X
MI,26065006600,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),,,,250000,"North Lansing Dam, MI","EAL_ET, FLD_ET","Climate Change, Clean Water & Waste Infrastructure",X
MI,26075006306,Ecosystem - Fish Passage,,,,800000,Brooklyn Dam Removal,EAL_ET ,Remediation & Reduction of Legacy Pollution,X
MI,26077000100,Local and Regional Project Assistance Grants (RAISE),,,,1493673.5,Downtown Kalamazoo Transportation Network,"N_TRN, N_WKFC",Clean Transportation,
MI,26077000201,Local and Regional Project Assistance Grants (RAISE),,,,1493673.5,Downtown Kalamazoo Transportation Network,"N_TRN, N_WKFC",Clean Transportation,
MI,26077000500,Local and Regional Project Assistance Grants (RAISE),,,,1493673.5,Downtown Kalamazoo Transportation Network,"N_TRN, N_WKFC",Clean Transportation,
MI,26077000900,Local and Regional Project Assistance Grants (RAISE),,,,1493673.5,Downtown Kalamazoo Transportation Network,"N_TRN, N_WKFC",Clean Transportation,
MI,26085961200,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,,,,30000,LRT - Woody Creek AOP,N_CLT,"Climate Change, Clean Water & Waste Infrastructure",
